,LOCAL_CD,SIDO,SIGUNGU
0,42230,강원도,삼척시
1,42710,강원도,춘성군
2,42840,강원도,명주군
3,41860,경기도,안성군
4,41720,경기도,남양주군
5,41850,경기도,용인군
6,41800,경기도,연천군
7,41780,경기도,고양군
8,41790,경기도,광주군
9,42050,강원도,울진군
10,41760,경기도,시흥군
11,41770,경기도,파주군
12,42715,강원도,춘천군
13,42850,강원도,삼척군
14,41750,경기도,화성군
15,42110,강원도,춘천시
16,41870,경기도,김포군
17,41730,경기도,여주군
18,41810,경기도,포천군
19,41740,경기도,평택군
20,41830,경기도,양평군
21,42130,강원도,원주시
22,42720,강원도,홍천군
23,41880,경기도,강화군
24,43130,충청북도,충주시
25,42730,강원도,횡성군
26,41840,경기도,이천군
27,41890,경기도,옹진군
28,42000,강원도,
29,42770,강원도,정선군
30,42760,강원도,평창군
31,42740,강원도,원성군
32,42150,강원도,강릉시
33,42105,동해출장소,
34,42780,강원도,철원군
35,42800,강원도,양구군
36,41820,경기도,가평군
37,44050,충청남도,천안군
38,42830,강원도,양양군
39,41670,경기도,여주시
40,42745,강원도,원주군
41,42750,강원도,영월군
42,42820,강원도,고성군
43,43111,충청북도,청주시상당구
44,43112,충청북도,청주시서원구
45,43113,충청북도,청주시흥덕구
46,43000,충청북도,
47,43050,충청북도,제천군
48,43110,충청북도,청주시
49,42170,강원도,동해시
50,42190,강원도,태백시
51,42210,강원도,속초시
52,42790,강원도,화천군
53,41710,경기도,양주군
54,42810,강원도,인제군
55,43114,충청북도,청주시청원구
56,43115,충청북도,청주시동부출
57,43116,충청북도,청주시서부출
58,44770,충청남도,서천군
59,44780,충청남도,보령군
60,43150,충청북도,제천시
61,43710,충청북도,청원군
62,44800,충청남도,홍성군
63,44740,충청남도,공주군
64,44790,충청남도,청양군
65,44730,충청남도,연기군
66,44810,충청남도,예산군
67,43720,충청북도,보은군
68,44820,충청남도,서산군
69,44840,충청남도,아산군
70,44750,충청남도,논산군
71,44830,충청남도,당진군
72,44760,충청남도,부여군
73,44825,충청남도,태안군
74,43790,충청북도,제원군
75,44110,충청남도,대전시
76,28720,인천광역시,옹진군
77,43795,충청북도,제천군
78,43800,충청북도,단양군
79,43780,충청북도,중원군
80,44111,충청남도,대전시동구
81,44113,충청남도,대전시중구
82,44710,충청남도,금산군
83,44115,충청남도,대전시서구
84,44130,충청남도,천안시
85,44720,충청남도,대덕군
86,43950,충청북도,증평출장소
87,44000,충청남도,
88,43740,충청북도,영동군
89,43745,충청북도,증평군
90,43750,충청북도,진천군
91,43730,충청북도,옥천군
92,44850,충청남도,천원군
93,43770,충청북도,음성군
94,43760,충청북도,괴산군
95,44270,충청남도,당진시
96,44230,충청남도,논산시
97,44250,충청남도,계룡시
98,44210,충청남도,서산시
99,44200,충청남도,아산시
100,44131,충청남도,천안시동남구
101,44133,충청남도,천안시서북구
102,44150,충청남도,공주시
103,44180,충청남도,보령시
104,44190,충청남도,온양시
105,44170,충청남도,대천시
106,26440,부산광역시,강서구
107,26470,부산광역시,연제구
108,26500,부산광역시,수영구
109,26530,부산광역시,사상구
110,26710,부산광역시,기장군
111,41110,경기도,수원시
112,41111,경기도,수원시장안구
113,21350,부산직할시,해운대구
114,27110,대구광역시,중구
115,41250,경기도,동두천시
116,41270,경기도,안산시
117,41610,경기도,광주시
118,41630,경기도,양주시
119,41650,경기도,포천시
120,41460,경기도,용인시
121,41193,경기도,부천시남구
122,41570,경기도,김포시
123,41590,경기도,화성시
124,21290,부산직할시,남구
125,21320,부산직할시,북구
126,11170,서울특별시,용산구
127,22110,대구직할시,중구
128,22140,대구직할시,동구
129,28237,인천광역시,부평구
130,28245,인천광역시,계양구
131,28260,인천광역시,서구
132,28265,인천광역시,서구검단출장
133,28710,인천광역시,강화군
134,23200,인천직할시,남동구
135,22170,대구직할시,서구
136,23230,인천직할시,북구
137,30170,대전광역시,서구
138,30200,대전광역시,유성구
139,41010,경기도,인천시
140,24110,광주직할시,동구
141,41220,경기도,평택시
142,41370,경기도,오산시
143,41150,경기도,의정부시
144,21410,부산직할시,금정구
145,21440,부산직할시,강서구
146,22000,대구직할시,
147,11200,서울특별시,성동구
148,41011,경기도,인천시중구
149,41480,경기도,파주시
150,41500,경기도,이천시
151,41130,경기도,성남시
152,41013,경기도,인천시남구
153,41461,경기도,용인시처인구
154,11290,서울특별시,성북구
155,11305,서울특별시,강북구
156,11320,서울특별시,도봉구
157,11350,서울특별시,노원구
158,41550,경기도,안성시
159,41330,경기도,평택시
160,11215,서울특별시,광진구
161,11230,서울특별시,동대문구
162,23140,인천직할시,동구
163,23170,인천직할시,남구
164,25140,대전직할시,중구
165,41230,경기도,송탄시
166,30230,대전광역시,대덕구
167,31710,울산광역시,울주군
168,31000,울산광역시,
169,31110,울산광역시,중구
170,31140,울산광역시,남구
171,41410,경기도,군포시
172,41430,경기도,의왕시
173,41450,경기도,하남시
174,11530,서울특별시,구로구
175,11590,서울특별시,동작구
176,41350,경기도,미금시
177,41360,경기도,남양주시
178,11140,서울특별시,중구
179,22145,대구직할시,동구안심출장
180,27140,대구광역시,동구
181,41113,경기도,수원시권선구
182,41115,경기도,수원시팔달구
183,41117,경기도,수원시영통구
184,27260,대구광역시,수성구
185,41390,경기도,시흥시
186,22260,대구직할시,수성구
187,22290,대구직할시,달서구
188,23000,인천직할시,
189,23110,인천직할시,중구
190,24200,광주직할시,광산구
191,22200,대구직할시,남구
192,21260,부산직할시,동래구
193,29110,광주광역시,동구
194,29140,광주광역시,서구
195,41271,경기도,안산시상록구
196,41273,경기도,안산시단원구
197,41280,경기도,고양시
198,27710,대구광역시,달성군
199,11260,서울특별시,중랑구
200,23235,인천직할시,북구계양출장
201,23260,인천직할시,서구
202,24000,광주직할시,
203,25200,대전직할시,유성구
204,26140,부산광역시,서구
205,41014,경기도,인천시북구
206,41050,경기도,부천군
207,11620,서울특별시,관악구
208,25230,대전직할시,대덕구
209,26000,부산광역시,
210,26110,부산광역시,중구
211,22230,대구직할시,북구
212,11560,서울특별시,영등포구
213,11380,서울특별시,은평구
214,11410,서울특별시,서대문구
215,24140,광주직할시,서구
216,24170,광주직할시,북구
217,29170,광주광역시,북구
218,36000,세종특별자치시,
219,36110,세종특별자치시,세종시
220,41462,경기도,용인시수지출
221,41463,경기도,용인시기흥구
222,11440,서울특별시,마포구
223,11680,서울특별시,강남구
224,25170,대전직할시,서구
225,21110,부산직할시,중구
226,22235,대구직할시,북구칠곡출장
227,29155,광주광역시,남구
228,11470,서울특별시,양천구
229,25000,대전직할시,
230,25110,대전직할시,동구
231,11545,서울특별시,금천구
232,11500,서울특별시,강서구
233,21230,부산직할시,부산진구
234,11110,서울특별시,종로구
235,41105,북부출장소,
236,41281,경기도,고양시덕양구
237,41283,경기도,고양시일산구
238,11000,서울특별시,
239,28000,인천광역시,
240,28110,인천광역시,중구
241,41170,경기도,안양시
242,41171,경기도,안양시만안구
243,41173,경기도,안양시동안구
244,41175,경기도,안양시만안출
245,41176,경기도,안양시동안출
246,41190,경기도,부천시
247,41191,경기도,부천시중구
248,28200,인천광역시,남동구
249,28230,인천광역시,북구
250,29200,광주광역시,광산구
251,41285,경기도,고양시일산동구
252,41287,경기도,고양시일산서구
253,41290,경기도,과천시
254,41310,경기도,구리시
255,30110,대전광역시,동구
256,11650,서울특별시,서초구
257,11710,서울특별시,송파구
258,11740,서울특별시,강동구
259,26260,부산광역시,동래구
260,26290,부산광역시,남구
261,26320,부산광역시,북구
262,26350,부산광역시,해운대구
